Label,Tweet
0,USER USER USER Segitu gentarnya dia takut terhadap Kafir...\xf0\x9f\x98\x81'
0,Dampak ekonomi putusnya jembatan Babat. Saksikan berita terkininya dalam USER pkl 09.00 WIB hanya di tvOne &amp; streaming di tvOne connect
1,"And who was the Prime Minister at that time? Surprise, surprise.....  One can only guess.... And who is the acting education Minister nowadays?..... Atok Munafik Laknatullah. During Najib, this was not even a problem."
1,Kemacetan makin menggila. ; Karena pertumbuhan mobilmotor 8X dari pertumbuhan jalan. ; Ganti presidenpun tak akan bisa kurangi kemacetan ini.; Tapi dg ganti presiden minimal bisa mengurangi kemacetan yg lain. ; Jadi? Tetap #2019GantiPresiden
1,Teroris Budha juga merendahkan Al-Quran!
0,USER emg produk cina \xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf'
0,"USER Tindak tegas kecurangan paslon tersebut, jangan sampai mengotori pilkada di sumut ini"
0,mukamu ke arahnya. Dan sesungguhnya orang-orang (Yahudi dan Nasrani) yang diberi Al Kitab (Taurat dan Injil)'
1,"USER ada. temen kerja. mirip kang daniel BRENGSEK\n\ntrus temen sekolah dulu, mirip jongin BRENGSEK (2)\n\nada lg temen deket gw, mirip seokjin BRENGSEK (3)\n\nintinya temen gw brengsek semua'"
0,USER Jempolnya kelebihan bacot'
1,USER mampus lu. kalah kan lawan gua'
0,"Ah sorry I didn't know that's what you meant. Being anti-DAP isn't racist, but Umno-Pas supporters' frequent reference to DAP as kafir and Cina babi leave no doubt about the reason for their dislike. MCA and MIC are accepted only as subservient component parties"
0,"Tulisan saya pagi ini, tentang budaya minum obat; ; Semoga berguna"
0,USER Sumpah ga lucu bgt jadiin autis bahan bercandaan'
0,USER Saya setuju siapapun yang dipasangkan dengan jokowi; Dan saya setuju untuk tidak mencoblos pasangan tersebut
0,"I'M LAUGHING TOO MUCH HAHAHAHAHAHAHAHA WHAT THE FUCK, BANGSAT HAHAHAHAHAHAHAHAHAHAHA  https://twitter.com/DEADORCOMA/status/1078682977905700864ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â ÃƒÂƒÃ‚Â¢ÃƒÂ¢Ã‚Â‚Ã‚Â¬ÃƒÂ‚Ã‚Â¦,,,,"
0,i understand your point of view. thank you for clarifying.
0,RT USER: woii... uda pada malam jumat belom? diem diem bae... ngentot oii ngentott... URL
0,USER Bokong cekcih \xf0\x9f\x98\x82'
0,"Kita bangga dg prestasi Musa La Ode Abu Hanafi, hafidz 7 tahun di Musabaqah Hifzil Quran Internasional di Mesir"
0,"This is so wrong in every level,
Ucapan natal no prob, ngewe juga gue ga munafik ya, but makan babi?
I was like, bruh are u still comfort in your religion? If not, then you can leave"
0,USER apa? vin? gimana gimana? mata gue budek gabisa baca'
0,"USER ;\xe2\x80\x94 USER \n\n""Capek gue belajar terus.""\n""Bentar gue nak berak wkwk.""\n""Kunci motor yang mana?"" padahal motor elu sompret.\n""Mau greenteaaaaa.""\n""Pocky greentea.""\n""Pejoy greentea.""\n""I love you.""\n""Biar yang lain ninggalin gue, asal jangan lo.""\n""APASIH STORY NYA ITUUU GUE MUTE AJA.""'"
0,USER Kita berharap ekonomi kita tdk terpengaruh oleh hirukpikuk politik dan angka kemiskinan bisa menurun
1,USER Hoax...; Kodok...; Biawak....; meroket...; sekop...; Bangsat...; Karbitan...; Munafik...; ; #2019GantiPresiden; #2019PresidenBaru; ; #2019TenggelamkanJokowiKesungaiSiak
0,"Somewhere out there, FPI, HTI, & MUI members are secretly watching Miss World on RCTI, I guess."
0,bukan fiktif tapi fiksi
0,pltl sorry rl ada yg kristen mau masuk grup dm?'
0,RT USER: Tuh kayak fist travel sm abu tour yg gelapin uang jamaah umroh\nNah itu jelas2 melecehkan napa kamu diem aja?\nIni orang\xe2\x80\xa6'
0,pikiran bejat gua thinking about something else.
0,"Dan setauku juga, isu privatisasi air ini cukup lama mereka awasi. Waktu jaman pilkada dulu sih pasti berkicau di sosmed, sekarang kok enggak ya..; ; Serius nanya.. ÃƒÂ°?Ã‚Â¤?"
0,Anjir abis bersin malah budeh ampe skrg:('
1,"i just dont fucking undestand with these fucking bantek players
MAIN KEK ANJING, SLAM STEER SEENAK JIDAT LO, LO PENCET AJA TERUS ITU VIEW BUTTON AMPE HANCUR GOBLOK  pic.twitter.com/gCaOODhdbA"
1,USER Nyatanya rakyat makin susah menteri perek daya beli hancur USER setan iblis tukang tipu'
0,"Presiden kelima RI yg juga Ketua Umum #PDIPerjuangan Megawati Soekarnoputri; menyebut Pidato Soekarno sebagai ""Tiga Tinta Emas Abad 20"""
1,"BANGSAT BANGET HE KNOW HE THICC HE KNOW HE THE AMERICA'S ASS THE FUCK DKENLEBEKEB  pic.twitter.com/TdgAZGS0fD,,,,"
1,"Puisi kampungan! Sudahlah bodoh ilmu dunia, bodoh pula ilmu agamanya. Innalillahi'"
1,USER USER Bukannya malu kok malah ketawa. Dasar idiot'
0,"ini gue yg berengsek ya , gue akuin dah . once i asked u to call me whenever u need me n i'll be on ur side"
1,Blokir CINA? - Telegram diblokir krn jokowi tuduh digunakan teroris. Sabu asal Cina. Apa Cina kita usir saja sesuai dgn cara berpikir rezim?
1,USER aku tak tahu bahasa indon but SIALAN KOK MASIH BERKATA KATA LU BAJINGAN URL
0,"Disebut Kampungan Oleh Nagita Slavina, Begini Reaksi Ayu Ting Ting URL"
0,kontol aa udah gk sabar ngentotin memek eneng.'
0,"USER nggak, terlalu berlebihan, cukup butuh presiden yang gak takut miskin harta,hilang kuasa dan tahta!"
1,USER USER USER USER USER USER USER Sampah
1,Ahok cari - cari celah untuk serang para saksi DramaAhokDikriminalisasi penjarakan ahok
0,Memang iblis punya perangai yang buat kucing macam tu zzzzzzzz tak sanggup aku tgk \xf0\x9f\x98\xad'
0,\xe2\x80\x9c. . .\xe2\x80\x9d\n\nTerik matahari hendak menyeruak menerobos indera penglihatannya. Sosok asing itu lantas terbangun; sesekali mengeluh tidak nyaman dengan tubuhnya.\n\nRasanya tidak nyaman...\n\n\xe2\x80\x9cNgh...\xe2\x80\x9d sosok berambu
1,RT USER USER USER Tangkap Setnov tak sanggup baik bubarkan KPK !!
0,Everyone has their rights to be berengsek
1,"Belum dijelaskan, haji adalah penipuan? Ibrahim tak mungkin dikubur di Kabah, Anda biarkan rakyat ditipu Pak Lukman?"
1,"Repost USER + Dari Jokower/Ahoker: - Sapi - Onta - Curut Khilafah - Kecoa - ASU - Kampret - Pentol Korek - Bumi datar - Otak Micin Dibalas: Cebong... dan turunannya Bong200, Ebong, Kolam Butek Mewek... Ngadu ama emak! Cemen &amp; cengeng loe ah bong"
0,"USER Sore Kak Saiful, boleh di restart dulu modem sama STB nya ya. Soalnya mimin cek jaringannya terkoneksi cuma sedikit melambat. Ditunggu kabar baiknya. Thx -Ardil'"
0,"USER USER USER USER USER Kalau kata guru ngaji saya, disuruh perbanyak baca alhamdulillah. Biar hidup jadi ayem. Kalo temen saya orang katolik, dia banyak memuji2 Tuhan \xf0\x9f\x98\x8a'"
0,"Duduk di samping adalah Aziz Rabbah, Menteri Energi, Pertambangan dan Perminyakan Kerajaan Maroko. Diskusi substantif, berjejaring dan mencari peluang kerjasama justru biasanya muncul di sela-sela konferensi.;"
0,RT USER: #SANGE_AAAAAAAAAAH #memek gatel say pngen disruduk kontol ! Retweet sayang yg pngen #ngentot \xf0\x9f\x98\x98 kuy... URL
0,RT USER: Om ini \xf0\x9f\x91\x87 mengoda banget pamer kontol besar bikin pikiran terbawa arus cinta \xf0\x9f\x92\x98 URL
1,"Thats not common bullshit, that is pure shit... RT  USER: DPR #commonbullshit"
1,"Sounds so familiar ""it's not against Islam, it's against HTI and FPI"" and then...

they started complain about adzan, spread propaganda moslem are radicalist and extremist, take down all ""tauhid"" flags and banners, blocked our ulama (teachers)

Same old stories...  https://twitter.com/SyedIbrahim1137/status/1041166820265394176ÃƒÂ‚Ã‚Â ÃƒÂ¢Ã‚Â€Ã‚Â¦"
0,USER Gak ada gunanya berdebat...klo tujuannya semata mata hanya ingin mempengaruhi citra menjadi baik atau buruk..baik dan buruk itu bukan pakai bacot..hanya setanlah yg mengucapkan kebencian agar orang terpengaruh...muak lihat tingkah polah mereka..'
1,"You may call me a racist, but I'd love to say... Yahudi bangsat!!"
0,"USER USER Betul sekali, adem lihatnya apa lagi Gubernur dan wagubnya kerjanya nyata dan dihargai negara lain"
1,RT USER USER kebesaran jiwa anies?? yang ada kebesaran ego dan ambisi. liat cara kampanyenya yang brutal 11 12 ama sandi
1,RT USER tapi kenyataanya jutaan rakyat kecil asli pribumi yg miskin justru semakin dimiskinkan oleh ahok cina kafir....
1,"Agree, and most of Kadal Gurun stand for the opposite, Just trying to escalate the context with what had happened these days in Indonesia with radicalist, over religious, fanatics and bigot. Still can relate right?"
0,"USER after urinating I wipe my private with tissue then pour water then wipe with tissue again.I repeat this 2 times and after coming outI saw bits of tissue paper on privatepart.I smelt them and they smelled fine, is it pure, coz it can be from clean or najis wipes"
1,"USER Jika ada tokoh agama, Lalu berpolitik praktis untuk jabatan2 publik?, Dengan menggunakan identitas keagamaan?. ?. Itu di lingkungan agama Budha, Ibaratkan ada yang mengaku biksu, Tetapi makan daging iya, Minum miras pun iya, Bahkan berkeluarga"
1,USER Saya dukung 200 % pernyataan Najwa soal KPK. Lebih baik DPR kita bubarkan
0,Timses Pasangan Calon Pilgub Jatim 2018 Apresiasi Debat Kandidat;
1,"USER USER yang bikin Reklamasi kunjungan anda,yg dapat duit dari para cukong junjungan anda..USER nyetop eh dibilang lanjut..sipit songong!!'"
1,Dengan Gojek #2019GantiPresiden ayo viralkan cc USER USER USER USER USER USER USER USER
1,"Uncivilized coward citizen doing coward thing and their Minister showing the same coward response. #cowards #ShameOnYouSyedSaddiq
#shameonyoumalaysia  https://twitter.com/CNNIndonesia/status/1197735033840103424ÃƒÂ‚Ã‚Â ÃƒÂ¢Ã‚Â€Ã‚Â¦"
0,"Tidak memulai memberikan salam kepada Ahlu Kitab, sebab Rasulullah Shallallaahu \xe2\x80\x98alaihi wa sallam bersabda :\xe2\x80\x9d Janganlah kalian terlebih dahulu memberi salam kepada orang-orang Yahudi dan Nasrani\xe2\x80\xa6.. \xe2\x80\x9d (HR. Musli"
0,USER org sipit mu ngrusak moral ank kcil kaga tanggung2 bikin video semua persi ada .'
1,Dasar bolot URL
0,#SaweranJateng; #SaweranDirmanIda; ; Sudirman Said - Ida Fauziyah; USER; USER; ; Sudirman Said Bicara Jabatan Satu Periode Cukup ; ;
1,"dulu guru ngaji sering bilang ""Kalian jangan main sepak bola karena sepak bola itu olah raganya pki"" sdh dikatain antek komunis sejak kecil"
1,USER Benerin sinyal dulu cuk !! Udah 2 minggu sinyalmu kaya bangke. BUSUK'
0,"USER Rezim sekrng ini brupaya mncuci otak generasi kita agar mlpakn sejarah..seakan2 bpknyalah yg hebat mlh mi d samakan dgn tuhan...\nRezim kacang lupa kulitnya, \nMlh mnjdi pemuja aseng dan anjing2 komunis itu..'"
1,USER bani koplak mana nich kok gak dukung siwanbango bego'
0," USER strategy session planned mass arrests of political opponents, pledge to ""crush"" FPI, HTI, PKS; SBY's Demokrats also targeted; plan to return Army to ""New Order"" role. 

Notulensi rapat tertutup 21-12-2018 di Kebayoran Baru. 

 https://www.allannairn.org/2019/04/breaking-news-prabowo-strategy-session.html?m=1ÃƒÂ‚Ã‚Â ÃƒÂ¢Ã‚Â€Ã‚Â¦"
0,USER ma kangen mau nete'
1,"Radicalism is like a deadly virus, stop it before it kills you. Well done  USER for banning HTI & FPI, make your country wonderful again!"
0,I'm from small village and I know how hard to be kampungan in people eyes and learned from it
0,Ketika bangkai kian membusuk maka apa yang akan di lakukan ? Di hirup dan di cari atau di hirup dan kau diamkan ?\nSama saja kau bagaikan bangke yang kian membusuk dan tak mencari apa kesalannya kenapa bisa berbau ?'
0,"Pas lg makan dpt omelan itu rasanya seperti makan tai kucing dipagi hari.\nGak pake ngunyah, asal telen aja biar cpt abis ini sarapan'"
0,Budaya turun padang kekal relevan ÃƒÂ¢?? Institut SosialÃƒÂ‚ Malaysia
1,KPK banyak semrawut juga goblok...bubarkan saja c USER toh banyak kasus mengambang begitu saja..hahh haram URL
1,Kalo badan ue bisa ngomong:\n\xe2\x80\x9cHoi lu ngga denger tulang gue bunyi semua? Mata gue lelah liatin layar mele! Tangan capek ngetik mele? Heh budek apa lu?!\xe2\x80\x9d\n\n\xe2\x80\x9cGue denger bego!! Maafin ue\xe2\x80\x9d \xf0\x9f\x98\xad\xf0\x9f
0,RT USER: Enak nya habis ngentot dimainin pejuhnya URL
0,"Yall..Idk why yall are so offended when kelantan and kelantanese get critisized. We Penangite get critisized all the time

For being sheeple of DAPig, for supporting kafir cina, for allegedly disregard muslim & malay rights, and malay and Muslim here who supports DAP are traitor"
0,USER Eug kira itu taplak meja di warung nagih..'
0,USER Untung satu genk. Untung bukan tanya macam2 ke orang asing \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3'
0,USER Wkwk jahat mah edan'
1,PopulerB1 8: Prabowo Diminta Tak Jadikan Isu Rohingya untuk Tekan Pemerintah URL URL
0,USER USER USER USER USER USER USER USER USER USER USER USER USER USER Semoga makin banyak sudara2 kita yang sadar akan pemerintahan sekarang... #2
0,Noob ah tidur awal alamak'
0,Oh my god I relate to that third panel so much !!! I was stressing so hard on confessing to my crush worrying about if things will get awkward but after I confessed we talked for like the longest I think we've talked and we're still friends ÃƒÂ°Ã‚ÂŸÃ‚Â˜Ã‚Â‚ even if he reciprocate.
1,That's why we dont argue with FPI and another narrow minded religious people such as HTI. #QOTD Good night lads :) pic.twitter.com/ShQKVC0jta
1,RT USER Nanti ada rezim Indonesia islam rezim amerika Kristen ujung-ujungnya islam vs budha vs Kristen vs hindu senang kah anda?
0,Silaturahmi ke Pimpinan DKM Masjid Al-Kautsar H Toniman.; Beliau Mendoakan Hasanah Menang di pilkada Jabar untuk mensukseskan Program-program Hasanah yang Pro Rakyat.; #BravoHasanah #JabarHasanah2aja ; USER USER ; #HASANAHkeurJabar
0,"Terserah mau blg gw cowo berengsek, dll. I won't say anything bad about you. We both know the truth. I will still keep on praying for you :)"
1,"orang-orang ini ajaib..yg makan duit siapa,yg nipu siapa, mau demo ke pemerintah..ujung-ujungnya dipolitisasi turunkan jokowi..haha. gila!!"
1,Potret Rezim Jokowi anti pd umat islam bkn sj di indonesia yg dipimpin tpi bahkan dinegara lain sptr Myanmar skrg
0,"RT USER: Bos Korea gua itu awalnya ga percaya yg begituan, meskipun banyak kejadian di pabrik. \n\nOrang yg kesurupan dia bilangnya\xe2\x80\xa6'"
0,"What! Are you kidding me!? This is The WORST SEA GAMES EVER!
.
#stopseagames2017 #shameonyoumalaysia"
0,"Mereka cuma tau lo brengsek! tp bagi gue lo itu nggak seperti yg mereka omongin, dan gue yakin lo pasti bisa berubah. :)'"
1,"Aku nggak bisa ngebayangin gimana perasaan mbaknya yg udah baik-baik memberitau kalo beliau itu ""disabilitas"" kok malah dibales. ""Mati aja lu"". Bajingan\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'"
0,USER USER macam kes bom tu la. saya tahu la. saya tahu. hahaha'
0,USER Ngga ada kucing yang kesurupan karena kucing adalah setan'
0,"Fb tai anjing lah,'"
1,USER INI BUKTI NYATA BUKAN EDITAN.MEREKA TEAM HOAX PEMENANGAN ANIES SANDI. URL
1,"Orang-orang kayak gini pantes dilaknat tangisan rakyat dari masa prakemerdekaan sampe kiamat nanti dan digentayangin arwah pejuang yang kegelisahannya masih lebih militan daripada mereka yang kerjaannya cuma ngawang, kosong, bolot.'"
1,"USER Jangan biarkan Pemprov DKI bekerja sendiri, mari kita dukung dan ikut membantu Pemprov dalam melawan cukong, aseng, asing dan para koruptor.\n\nBersatu kita teguh, Pemprov DKI bersama warga DKI Jakarta melawan cukong, aseng, asing, dan para k"
0,munafik people everywhere. sherem nihhh
0,Came a long way from Amira gassing her to start walking lmao https://twitter.com/SunnyBanks_/status/1223283139654692866ÃƒÂ‚Ã‚Â ÃƒÂ¢Ã‚Â€Ã‚Â¦
0,"6922.\nWedeeeh ini mah udah ky brother from another meki . HAHAHAHAHAH ngocol anjing ni anak g paham lg gua . Tiap"" chatan ketawa mulu gua dibuatnya ampe sakit perut . Baik banget, open minded, friendly, kocak, sampah, idiot, demen ngentot. Yg ada dipikirannya itu memek,memek mulu'"
1,Para Pendukung Capres gagal Move On salalu sibuk Urus Aseng bawa kabur uang Rp 35 T. Tapi ngak sadar kenapa Aseng bisa kabur bawa uang sebanyak itu tanpa didukung Pribumi ASU. Mustahil Aseng bisa. Pribumi hanya diam kalau disogok. Mental kacung emang. URL
0,USER USER USER Kabur karna tdk sependapat dgn Presiden Sukarno karna di Kabinet Presiden Sukarno banyak PKI'
0,"USER USER Ini Islam tapi pikiran fasis sekaligus komunis, yang benar hanya satu menurut dia, kita bukan hewan kita manusia yang punya hak berpikir, perbedaan adalah rahmah.'"
1,"USER HUHUHUHU TIBA2 SM KIM BUM PLOT TWIST BANGETTT. SUMPAH AKU TUH UDH RELAIN DIA SM MONYET BENERAN BIAR MONYET MOVE ON EH TAUNYA AMA DIA:')) Jan jangan monyet gaberani deketin dia karna tau udh ada yg punya:("""
1,"completely the opposite for me. So many people that I know from my HS now turned out supporting conservative organization/movement like FPI, HTI and 212 lol. Thank fuck I was able to get out from there before it became more toxic for me"
0,"Mata nya belo banget coy, padahal sipit yaallah diriku teringat waktu basah2an pas mos :( dan tampang nya beda banget, byk dosa dah hari ini wkwk'"
1,"PT20langgarkonstitusi Rezim otoriter ini gk habis-habis tabrak-tubruk UU, kali ini undang-undang Dasar pun mau dijebol..mk waktunya lengserkan jokowi"
0,Ternyata Tuhan juga mendengar doa para komunis. #RUSCRO'
0,"The Economist Intelligence Unit's recently released annual democracy index shows Indonesia's democracy has yet to climb out of its funk, even as neighboring Malaysia experiences a democratic resurgence  https://www.thejakartapost.com/seasia/2020/01/22/2019-eiu-democracy-index-shows-indonesia-falling-further-behind-malaysia.htmlÃƒÂ‚Ã‚Â ÃƒÂ¢Ã‚Â€Ã‚Â¦"
0,Shit i forgot a fucking concept about berlebihan anjing
0,RIP 4 sks mata kuliah economics dan pelajaran ekonomi tentang inflasi pas SMA dulu
0,Insom my life \xf0\x9f\x98\xb4generasi malam susah tidur pagi susah bangun'
1,Waduh Addie MS Bongkar Keterlibatan Veronica Saat Ahok Masih Jadi Gubernur Jakarta URL
1,Turunkan tirani !! Jangan mau kalah dengan tirani. Ahok sudah tumbang. Tinggal satu lagi tugas kita.
0,USER USER Lucuk dan sipit hmmm'
1,USER USER USER USER Hahahaha blunder lu cebong... Yg gak ngasih tuh pem. pusat dengan Alasan HAM... kalau rakyat aceh ya mau kali pun.. Cobak kau datangi pemerintah bilang suruh buat hukum islam kaffah di aceh... Klau DPR a
0,"london is blue, red is cabecabean"
0,Udah sinting URL
1,RT USER: Besok kalau Prabowo nyapres lagi kalau masih teriak-teriak NKRI harga mati jangan dipercaya ya
0,"Believe it or not, this is the ballot form voters will have to negotiate on Election Day in Indonesia. #indonesiaelection #indonesia #jakarta pic.twitter.com/POUdT1o9tz"
1,Gubraaaaak!!!! Malu liatnya... Untung semalem debat ga kaya MATA NAJWA.. Coba kalo formatnya sama pasti Ringsek dah pasangan ASU...
1,"SBY, What are you gonna say next? SBY: ""Oh i never delete the TTWW #ShameOnYouSBY"" Hahaha.. So Bullshit #ShamedByYou pic.twitter.com/fvLdfT6uN7"
0,"On last December, the Embassy sponsored Tyson Juma, a Kenyan Student to attend Bali Democracy Students Conference (BDSC). Read Tyson's Story about the conference and Indonesia in this article!
 https://kemlu.go.id/nairobi/en/news/4440/tyson-juma-terasa-seperti-di-rumah-selama-di-indonesiaÃƒÂ‚Ã‚Â ÃƒÂ¢Ã‚Â€Ã‚Â¦  USER  USER #indonesianway #IndonesiaUntukDunia"
0,"Aku, Ronaldo Pardede, siswa SMP Katolik Santo Petrus Kelas 1A, 2B, 3C, 1984-1987.'"
1,"yk what rlly makes my blood boil?! the news abt all those whackass dai'es, PUs, ustazs or just men in general wait scratch that not only men just all those munafik ass people who just wanna kongkek or get clout and then use religion as the excuse they do so like WTF U NEED HELP"
0,"BHAHAHAKK!! i want to use another word ""toket"" which sounds more polite but no i will use tetek and send"
0,"USER USER USER Di islam emng gitu mas, kafir masuk neraka. Yg muslim aja belun tentu masu surga, kalo amal nya ga ada'"
0,#AtongKEPOH Suka gak sama monyet?'
